feature,importance
ACL_Risk_Score,0.3764714225686879
Load_Balance_Score,0.21043153587895047
Fatigue_Score,0.09777108019615968
Recovery_Days_Per_Week,0.08439919488353874
Height_cm,0.0376001605526685
Team_Contribution_Score,0.03309929143333381
Weight_kg,0.03173923435263119
Performance_Score,0.030496811503549034
Training_Hours_Per_Week,0.030118882682510128
Training_Intensity,0.026276756575903913
Age,0.020071686846065247
Match_Count_Per_Week,0.012324621398845026
Rest_Between_Events_Days,0.009199321127156365
